                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.3779,                 1.0541,                 1.1283,                 1.6019,                 1.2693,                 1.0902,                 0.6117,                0.45897,                0.47968,                0.29225,                 1.4112,                 1.1101,                 1.2206,                 1.5281,                 1.3118,                 1.1922,               0.006931,               0.006931,               0.006931
                     65,                 1.3705,                 1.0496,                 1.1305,                 1.5866,                 1.2586,                 1.0929,                0.62722,                0.46417,                0.49297,                0.30381,                 1.4105,                 1.1001,                 1.2228,                 1.5335,                 1.2634,                 1.1927,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.3455,                 1.0303,                 1.1199,                 1.5663,                 1.2317,                 1.0847,                0.59796,                0.48404,                0.50142,                0.30868,                 1.3934,                 1.0734,                 1.2146,                 1.5211,                 1.2754,                 1.1909,               0.006832,               0.006832,               0.006832
                     67,                 1.3637,                 1.0324,                 1.1241,                 1.5915,                 1.2368,                 1.0866,                0.61938,                 0.4715,                0.49441,                0.30605,                 1.3959,                 1.1124,                 1.2127,                 1.5181,                 1.3105,                 1.1842,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.3227,                0.98957,                 1.1041,                 1.5307,                  1.171,                 1.0709,                 0.6267,                0.46887,                0.49909,                 0.3102,                 1.3941,                 1.0807,                 1.2153,                 1.5233,                 1.2576,                 1.1916,               0.006733,               0.006733,               0.006733
                     69,                 1.3361,                 1.0182,                 1.1139,                 1.5582,                 1.2372,                 1.0818,                0.59277,                0.48035,                0.49044,                0.30209,                 1.3956,                 1.0832,                 1.2161,                 1.5146,                 1.2956,                 1.1904,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.3453,                 1.0018,                 1.1051,                 1.5561,                 1.1983,                 1.0684,                0.59951,                0.46459,                0.49291,                0.30492,                 1.3966,                 1.0819,                 1.2122,                 1.5189,                 1.2848,                 1.1846,               0.006634,               0.006634,               0.006634
                     71,                  1.337,                  1.017,                 1.1096,                  1.554,                 1.2135,                 1.0738,                0.55471,                0.46141,                0.48608,                 0.2996,                 1.3919,                 1.0627,                 1.2097,                 1.5189,                 1.2349,                 1.1906,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.3461,                0.99581,                 1.1068,                 1.5566,                 1.1746,                 1.0677,                0.53438,                0.49178,                0.49916,                0.31163,                 1.3862,                  1.084,                 1.2057,                 1.5092,                  1.306,                 1.1811,               0.006535,               0.006535,               0.006535
                     73,                 1.3395,                 1.0067,                 1.1098,                  1.564,                 1.2111,                  1.074,                0.62676,                0.47868,                0.49059,                0.30749,                 1.3868,                  1.074,                 1.2062,                 1.5085,                 1.2491,                  1.182,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.3383,                 1.0062,                 1.1084,                 1.5674,                 1.2082,                 1.0737,                0.64065,                0.46935,                 0.5035,                 0.3117,                 1.3892,                  1.068,                 1.2058,                 1.5112,                 1.2481,                  1.182,               0.006436,               0.006436,               0.006436
                     75,                 1.3343,                 1.0061,                 1.1117,                 1.5424,                 1.2007,                  1.074,                0.63936,                0.47576,                0.50926,                0.31769,                  1.374,                 1.0441,                 1.1955,                 1.4995,                 1.1994,                 1.1728,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.3113,                0.97585,                  1.102,                 1.5391,                 1.1665,                 1.0705,                0.56353,                0.47962,                0.50557,                0.31705,                  1.389,                  1.055,                 1.2095,                 1.5116,                  1.218,                 1.1827,               0.006337,               0.006337,               0.006337
                     77,                 1.3258,                0.98407,                 1.1114,                 1.5473,                 1.1778,                 1.0749,                0.63061,                0.49176,                 0.5102,                0.31502,                 1.3811,                 1.0487,                 1.2046,                  1.508,                 1.2157,                 1.1778,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.3284,                0.99127,                 1.1058,                 1.5475,                 1.1866,                 1.0677,                0.64405,                0.49506,                0.52021,                 0.3204,                 1.3832,                 1.0364,                 1.2037,                 1.5091,                 1.1881,                 1.1809,               0.006238,               0.006238,               0.006238
                     79,                 1.3181,                0.97125,                 1.0952,                 1.5311,                 1.1561,                 1.0582,                0.64605,                0.47451,                0.51162,                0.31887,                 1.3795,                  1.053,                 1.1979,                  1.505,                 1.2292,                 1.1728,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.3013,                0.95644,                 1.0864,                 1.5244,                 1.1407,                  1.054,                0.64189,                0.47619,                0.51469,                0.32016,                 1.3759,                 1.0563,                 1.1969,                 1.5003,                 1.2544,                 1.1734,               0.006139,               0.006139,               0.006139
                     81,                 1.3152,                0.97097,                 1.0942,                 1.5286,                 1.1413,                 1.0578,                0.54238,                0.50372,                 0.5208,                0.32173,                 1.3706,                 1.0466,                 1.1945,                 1.4979,                  1.235,                 1.1724,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.2999,                0.96341,                 1.0889,                 1.5111,                 1.1402,                 1.0536,                0.65295,                0.49307,                0.52301,                0.32474,                 1.3739,                 1.0484,                 1.1954,                 1.4994,                 1.2444,                 1.1696,                0.00604,                0.00604,                0.00604
                     83,                  1.306,                0.95704,                 1.0827,                 1.5309,                 1.1319,                 1.0511,                0.64851,                0.49438,                 0.5266,                0.32734,                  1.366,                 1.0247,                 1.1924,                  1.497,                 1.2084,                 1.1703,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.3093,                0.96829,                 1.1007,                 1.5304,                 1.1662,                 1.0677,                0.65235,                0.49549,                0.52437,                0.32371,                  1.376,                 1.0324,                 1.1974,                 1.5059,                 1.2127,                 1.1736,               0.005941,               0.005941,               0.005941
                     85,                 1.2865,                0.93881,                 1.0809,                  1.496,                 1.1146,                 1.0482,                0.63465,                0.50106,                0.52753,                0.32881,                 1.3739,                  1.035,                 1.1969,                 1.5026,                 1.2103,                 1.1741,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.2846,                0.94079,                 1.0815,                 1.5074,                 1.1261,                 1.0549,                0.63572,                0.50577,                0.52254,                0.32374,                 1.3614,                 1.0256,                 1.1914,                 1.4919,                 1.1963,                 1.1703,               0.005842,               0.005842,               0.005842
