                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,       metrics/mAP50(B),   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
42,1.4927,1.236,1.1927,1.6963,1.4851,0.44464,0.66504,0.42422,0.44464,0.26888,1.4878,1.1938,1.2711,1.5825,1.3693,1.2277,0.00868,0.00868,0.00868
43,1.4636,1.202,1.1809,1.6792,1.4551,0.44166,0.5984,0.4287,0.44166,0.27188,1.4657,1.2374,1.266,1.574,1.4509,1.2238,0.008647,0.008647,0.008647
44,1.4917,1.2091,1.1885,1.6976,1.4614,0.44912,0.62002,0.42255,0.44912,0.26822,1.4998,1.1623,1.2797,1.6061,1.3272,1.2388,0.008614,0.008614,0.008614
45,1.4747,1.2007,1.1813,1.6921,1.4533,0.45457,0.6029,0.42504,0.45457,0.27375,1.4858,1.1454,1.2705,1.5898,1.3312,1.2272,0.008581,0.008581,0.008581
46,1.4794,1.2104,1.1846,1.6839,1.4575,0.45357,0.6131,0.41917,0.45357,0.27435,1.4761,1.178,1.2724,1.5816,1.4023,1.2317,0.008548,0.008548,0.008548
47,1.4604,1.1919,1.1733,1.6664,1.4425,0.45461,0.59626,0.4222,0.45461,0.2736,1.4723,1.1596,1.268,1.591,1.3518,1.2301,0.008515,0.008515,0.008515
48,1.4591,1.1968,1.18,1.6815,1.4483,0.45461,0.62316,0.41923,0.45461,0.27755,1.4664,1.1869,1.2683,1.5688,1.3919,1.226,0.008482,0.008482,0.008482
49,1.4478,1.1775,1.1679,1.6618,1.4139,0.45509,0.58552,0.43972,0.45509,0.27493,1.4531,1.1794,1.2531,1.5734,1.3978,1.2247,0.008449,0.008449,0.008449
50,1.4478,1.1641,1.1717,1.6634,1.4044,0.47065,0.6249,0.44502,0.47065,0.28173,1.4495,1.1352,1.2521,1.5705,1.2828,1.2178,0.008416,0.008416,0.008416
51,1.4575,1.1744,1.1775,1.6787,1.4121,0.46048,0.53691,0.4365,0.46048,0.27544,1.4648,1.1558,1.2598,1.5734,1.342,1.2206,0.008383,0.008383,0.008383
52,1.436,1.1505,1.171,1.6552,1.3862,0.46768,0.60179,0.44823,0.46768,0.28449,1.4486,1.1495,1.2467,1.5686,1.3479,1.2129,0.00835,0.00835,0.00835
