                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5163,                 1.2426,                 1.2122,                 1.7217,                 1.5267,                 1.1513,                0.58924,                0.37798,                0.39651,                0.23877,                 1.4871,                 1.3543,                 1.2765,                 1.5773,                 1.6658,                 1.2274,               0.008416,               0.008416,               0.008416
                     35,                 1.5336,                 1.2902,                 1.2148,                 1.7228,                 1.5565,                 1.1479,                0.62001,                0.38761,                0.41756,                0.25035,                 1.5102,                 1.2947,                 1.2888,                 1.6059,                 1.6064,                 1.2454,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.5176,                 1.2455,                 1.1988,                 1.7059,                 1.5084,                 1.1371,                0.55042,                0.39084,                0.41233,                0.24365,                 1.5097,                 1.2867,                 1.2852,                 1.6125,                 1.5966,                 1.2483,               0.008317,               0.008317,               0.008317
                     37,                 1.5023,                 1.2475,                 1.2163,                 1.6952,                 1.5221,                 1.1572,                0.49249,                0.41711,                0.42151,                0.25179,                 1.4978,                 1.2205,                 1.2804,                 1.5976,                  1.464,                 1.2403,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4964,                 1.2244,                  1.189,                 1.6889,                 1.4736,                 1.1316,                0.56352,                0.41047,                0.42645,                0.25951,                 1.4813,                 1.2048,                 1.2757,                 1.5739,                  1.406,                 1.2288,               0.008218,               0.008218,               0.008218
                     39,                  1.489,                 1.2337,                 1.1896,                 1.6972,                 1.4748,                 1.1291,                0.56962,                0.40441,                0.42447,                0.25839,                 1.4952,                  1.218,                  1.284,                 1.5972,                 1.4209,                 1.2388,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4835,                 1.2043,                  1.188,                 1.6722,                 1.4527,                 1.1325,                0.55784,                0.41835,                0.43335,                 0.2618,                 1.4842,                 1.2295,                 1.2671,                 1.5887,                  1.495,                 1.2262,               0.008119,               0.008119,               0.008119
                     41,                 1.4875,                 1.2131,                 1.1892,                 1.6869,                 1.4722,                 1.1301,                0.66518,                0.38977,                 0.4365,                0.26324,                 1.4624,                 1.1841,                 1.2617,                 1.5718,                 1.4269,                 1.2222,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4613,                  1.189,                 1.1793,                 1.6528,                 1.4205,                 1.1223,                 0.6168,                0.42853,                0.45283,                0.27282,                 1.4695,                 1.1564,                 1.2622,                 1.5764,                 1.3487,                 1.2241,                0.00802,                0.00802,                0.00802
                     43,                  1.467,                 1.1704,                 1.1754,                 1.6656,                 1.4072,                 1.1205,                0.63829,                0.41922,                0.45761,                0.27822,                  1.452,                 1.1585,                 1.2549,                 1.5672,                 1.3718,                 1.2182,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4588,                 1.2163,                 1.1815,                 1.6613,                 1.4452,                 1.1275,                0.62614,                0.41536,                0.44822,                0.27326,                 1.4518,                 1.1878,                 1.2529,                  1.561,                 1.3821,                 1.2192,               0.007921,               0.007921,               0.007921
                     45,                 1.4508,                 1.1787,                 1.1756,                 1.6484,                  1.432,                 1.1227,                0.60362,                0.43477,                 0.4573,                0.27628,                 1.4631,                 1.1735,                 1.2647,                 1.5676,                  1.404,                 1.2229,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4496,                 1.1518,                 1.1687,                 1.6563,                 1.3967,                 1.1153,                0.61513,                0.44067,                 0.4645,                0.28148,                 1.4443,                  1.173,                 1.2521,                 1.5606,                 1.3996,                 1.2188,               0.007822,               0.007822,               0.007822
                     47,                 1.4356,                 1.1435,                 1.1653,                 1.6341,                 1.3747,                 1.1112,                0.61367,                0.43064,                0.45746,                0.27584,                 1.4342,                 1.1268,                 1.2458,                 1.5548,                 1.3435,                 1.2155,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4339,                 1.1259,                 1.1557,                 1.6342,                 1.3509,                 1.1032,                 0.6043,                0.43608,                0.46106,                0.28289,                 1.4237,                 1.1407,                 1.2376,                 1.5375,                  1.343,                 1.2042,               0.007723,               0.007723,               0.007723
                     49,                 1.4363,                 1.1223,                 1.1504,                 1.6306,                 1.3395,                 1.0985,                0.62492,                0.43871,                0.46148,                0.28518,                 1.4305,                 1.1471,                 1.2372,                 1.5523,                 1.3644,                 1.2073,              0.0076735,              0.0076735,              0.0076735
                     50,                  1.405,                 1.1139,                 1.1597,                 1.6151,                 1.3677,                 1.1132,                0.59252,                0.44051,                0.45185,                0.27765,                 1.4237,                  1.153,                 1.2361,                 1.5482,                 1.3742,                 1.2101,               0.007624,               0.007624,               0.007624
                     51,                 1.3975,                 1.1101,                 1.1563,                 1.5962,                 1.3448,                 1.1066,                0.60805,                0.44343,                0.46263,                0.28608,                  1.422,                 1.1346,                 1.2334,                   1.54,                 1.3475,                 1.2044,              0.0075745,              0.0075745,              0.0075745
                     52,                  1.425,                 1.1092,                 1.1498,                 1.6287,                 1.3349,                  1.097,                0.61431,                0.43532,                0.47808,                0.29011,                 1.4337,                 1.1337,                 1.2406,                 1.5464,                  1.367,                 1.2038,               0.007525,               0.007525,               0.007525
                     53,                 1.3906,                  1.089,                 1.1443,                  1.601,                 1.3037,                 1.0983,                0.58202,                0.43507,                0.46511,                0.28659,                 1.4131,                 1.1285,                 1.2348,                 1.5342,                 1.3328,                 1.2023,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.3953,                 1.0826,                 1.1385,                 1.5973,                 1.3028,                 1.0924,                0.69729,                0.44618,                0.48838,                0.29859,                 1.4128,                 1.0858,                 1.2331,                 1.5354,                 1.2708,                 1.2045,               0.007426,               0.007426,               0.007426
                     55,                 1.3935,                 1.0887,                 1.1454,                 1.5994,                 1.3004,                 1.1004,                0.57628,                0.43788,                0.48004,                0.29723,                 1.4132,                 1.0816,                 1.2277,                 1.5327,                 1.2692,                 1.1981,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.3903,                 1.0783,                  1.135,                 1.6039,                 1.3085,                 1.0891,                0.66391,                0.46072,                0.49127,                0.29938,                 1.4124,                 1.0931,                 1.2278,                 1.5305,                 1.2855,                 1.2023,               0.007327,               0.007327,               0.007327
                     57,                 1.3856,                 1.0719,                 1.1386,                  1.591,                 1.2911,                 1.0954,                0.63788,                 0.4551,                0.49144,                0.30503,                 1.4094,                 1.0963,                 1.2254,                 1.5294,                 1.2861,                 1.1993,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.3914,                 1.0948,                 1.1429,                 1.6123,                 1.3369,                 1.0968,                0.67066,                0.46335,                0.49565,                0.30712,                 1.3892,                   1.06,                 1.2118,                 1.5179,                 1.2442,                 1.1863,               0.007228,               0.007228,               0.007228
                     59,                 1.3869,                 1.0716,                 1.1239,                 1.5987,                 1.2765,                 1.0817,                0.64353,                0.45975,                0.49905,                0.31168,                 1.3871,                 1.0577,                 1.2142,                 1.5128,                 1.2576,                   1.19,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.3636,                 1.0468,                 1.1293,                 1.5758,                 1.2492,                 1.0847,                0.56366,                0.45835,                0.49012,                0.30573,                 1.3972,                 1.0735,                 1.2204,                 1.5231,                 1.2877,                 1.1925,               0.007129,               0.007129,               0.007129
                     61,                 1.3704,                 1.0467,                 1.1269,                 1.5838,                 1.2756,                 1.0859,                0.57128,                0.48002,                0.49326,                0.30639,                 1.3841,                 1.0666,                 1.2094,                 1.5114,                 1.2417,                 1.1838,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.3734,                 1.0588,                 1.1293,                 1.5845,                 1.2724,                 1.0886,                0.58488,                 0.4561,                0.49427,                0.30586,                 1.3901,                 1.0732,                 1.2154,                 1.5119,                 1.2674,                 1.1888,                0.00703,                0.00703,                0.00703
                     63,                 1.3665,                 1.0399,                  1.126,                 1.5728,                  1.239,                 1.0828,                0.53358,                0.48322,                0.48922,                0.30525,                 1.3882,                 1.0678,                 1.2109,                 1.5102,                 1.2679,                 1.1797,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.3943,                 1.0591,                 1.1324,                 1.6054,                 1.2703,                 1.0898,                0.60746,                0.45342,                0.50297,                0.31002,                 1.3821,                  1.058,                 1.2074,                 1.5031,                 1.2243,                 1.1799,               0.006931,               0.006931,               0.006931
                     65,                 1.3512,                 1.0149,                 1.1128,                 1.5566,                 1.2219,                 1.0707,                0.55669,                 0.4744,                0.49819,                0.31156,                 1.3804,                 1.0612,                 1.2135,                  1.511,                 1.2419,                 1.1879,              0.0068815,              0.0068815,              0.0068815
                     66,                   1.34,                 1.0183,                 1.1223,                 1.5492,                 1.2285,                 1.0829,                0.54841,                0.46982,                0.49803,                0.30926,                 1.3855,                  1.059,                 1.2124,                 1.5092,                 1.2599,                 1.1857,               0.006832,               0.006832,               0.006832
                     67,                 1.3378,                0.99627,                 1.1173,                 1.5467,                 1.2001,                 1.0816,                0.57217,                0.48196,                0.50166,                0.31173,                 1.3771,                 1.0411,                 1.2104,                 1.4996,                 1.2239,                 1.1847,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.3668,                   1.04,                  1.123,                 1.5797,                 1.2466,                 1.0786,                0.57993,                0.49158,                0.50666,                0.31961,                 1.3723,                 1.0553,                 1.1999,                  1.496,                 1.2474,                 1.1782,               0.006733,               0.006733,               0.006733
                     69,                 1.3487,                 1.0276,                 1.1137,                  1.562,                  1.236,                 1.0734,                0.59403,                0.47779,                0.51283,                0.31842,                 1.3781,                 1.0527,                 1.2043,                 1.5041,                 1.2551,                 1.1801,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.3408,                 1.0312,                 1.1152,                 1.5629,                 1.2413,                 1.0804,                0.63054,                0.49734,                0.50266,                 0.3135,                 1.3723,                 1.0544,                 1.2027,                 1.4979,                 1.2246,                 1.1827,               0.006634,               0.006634,               0.006634
                     71,                 1.3423,                 1.0118,                 1.1151,                 1.5634,                 1.2253,                 1.0782,                0.62969,                0.48343,                0.50344,                0.31604,                 1.3775,                 1.0576,                 1.2035,                 1.4989,                 1.2544,                 1.1813,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.3306,                0.99936,                 1.1063,                 1.5467,                  1.204,                 1.0679,                0.56299,                0.49714,                0.51419,                 0.3247,                 1.3668,                 1.0356,                 1.1898,                 1.4946,                 1.2314,                 1.1699,               0.006535,               0.006535,               0.006535
                     73,                 1.3302,                0.98537,                 1.1041,                 1.5443,                 1.1752,                 1.0636,                0.62944,                0.50139,                 0.5111,                0.31987,                 1.3689,                 1.0398,                 1.1999,                 1.5001,                 1.2234,                  1.177,              0.0064855,              0.0064855,              0.0064855
                     74,                  1.318,                0.98271,                 1.1047,                   1.53,                 1.1792,                 1.0655,                0.59565,                0.48572,                0.51136,                0.31955,                 1.3678,                 1.0489,                 1.2004,                 1.4966,                 1.2314,                 1.1781,               0.006436,               0.006436,               0.006436
                     75,                 1.3174,                0.98165,                 1.0994,                 1.5269,                 1.1774,                 1.0633,                0.56171,                0.50001,                0.51257,                0.32095,                 1.3683,                 1.0269,                 1.1987,                 1.4921,                  1.211,                 1.1749,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.3039,                0.98613,                 1.0994,                 1.5209,                 1.1933,                 1.0656,                 0.5786,                0.50089,                0.51554,                0.32112,                 1.3612,                 1.0292,                 1.1944,                 1.4904,                 1.2079,                 1.1749,               0.006337,               0.006337,               0.006337
                     77,                 1.3152,                 1.0039,                 1.1009,                 1.5419,                  1.186,                 1.0633,                0.58871,                0.49562,                0.51998,                0.32347,                 1.3582,                 1.0294,                 1.1943,                 1.4879,                 1.2294,                 1.1758,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.3204,                0.97546,                 1.0972,                 1.5359,                 1.1685,                 1.0643,                0.58322,                0.49255,                0.51637,                0.32166,                 1.3624,                 1.0218,                 1.1935,                 1.4926,                 1.2193,                 1.1736,               0.006238,               0.006238,               0.006238
                     79,                  1.295,                0.97067,                 1.0953,                 1.5114,                 1.1609,                 1.0618,                0.63171,                0.48011,                 0.5185,                0.32381,                 1.3536,                 1.0162,                 1.1926,                 1.4822,                 1.2116,                 1.1735,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.2993,                 0.9446,                 1.0891,                 1.5114,                  1.134,                 1.0553,                0.54694,                0.51759,                0.51503,                0.32405,                   1.36,                 1.0252,                 1.1966,                 1.4868,                 1.2126,                 1.1762,               0.006139,               0.006139,               0.006139
                     81,                 1.3144,                0.95863,                 1.0954,                  1.527,                 1.1427,                 1.0586,                0.55418,                0.50109,                0.51589,                0.32057,                 1.3532,                 1.0308,                 1.1895,                 1.4808,                 1.2375,                 1.1657,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.3082,                0.97327,                 1.0971,                 1.5314,                 1.1738,                 1.0619,                0.59364,                0.49226,                0.52107,                0.32567,                 1.3545,                 1.0209,                 1.1895,                 1.4817,                 1.2237,                  1.169,                0.00604,                0.00604,                0.00604
                     83,                 1.2944,                0.95136,                 1.0895,                 1.5192,                 1.1472,                 1.0519,                0.60135,                0.50033,                 0.5264,                0.33034,                 1.3575,                 1.0151,                 1.1926,                 1.4822,                 1.2065,                 1.1703,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.3035,                0.95971,                 1.0948,                 1.5203,                  1.141,                 1.0609,                0.58548,                0.49326,                0.52005,                0.32799,                 1.3546,                  1.021,                 1.1876,                 1.4811,                  1.207,                 1.1699,               0.005941,               0.005941,               0.005941
                     85,                 1.2835,                0.93935,                 1.0823,                 1.5012,                 1.1164,                 1.0456,                0.58741,                 0.5062,                0.52166,                0.32796,                 1.3474,                 1.0212,                 1.1883,                 1.4766,                  1.223,                 1.1673,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.3081,                0.96511,                 1.0922,                 1.5266,                 1.1556,                 1.0585,                0.58364,                0.51454,                0.52478,                0.32827,                 1.3413,                  1.009,                 1.1816,                 1.4683,                 1.2013,                 1.1623,               0.005842,               0.005842,               0.005842
                     87,                 1.2595,                  0.935,                 1.0823,                  1.472,                 1.1237,                  1.052,                0.65483,                0.51527,                0.52427,                0.32944,                 1.3412,                 1.0056,                 1.1801,                 1.4668,                 1.1862,                 1.1608,              0.0057925,              0.0057925,              0.0057925
