                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.516,                 1.2704,                 1.2181,                 1.7087,                  1.552,                 1.1539,                0.47201,                0.38317,                0.39619,                0.23289,                 1.4971,                  1.316,                 1.2848,                 1.5937,                 1.6237,                 1.2409,               0.008416,               0.008416,               0.008416
                     35,                 1.5173,                 1.2679,                 1.2112,                 1.7135,                 1.5501,                 1.1502,                0.54041,                0.41322,                0.40887,                0.23892,                 1.5266,                 1.2687,                 1.2922,                  1.626,                 1.4887,                 1.2489,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.5258,                 1.2711,                 1.2038,                 1.7204,                 1.5467,                 1.1413,                0.55483,                0.40223,                 0.4015,                0.23316,                 1.5255,                 1.2984,                 1.2986,                 1.6142,                  1.569,                 1.2447,               0.008317,               0.008317,               0.008317
                     37,                 1.5029,                  1.236,                 1.2094,                 1.6918,                 1.4896,                 1.1482,                0.51074,                0.41125,                0.41213,                0.23775,                 1.5038,                  1.253,                 1.2901,                 1.6114,                 1.4993,                 1.2522,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.5005,                 1.1869,                 1.1806,                 1.6961,                 1.4184,                 1.1193,                  0.577,                0.40001,                0.42568,                0.25021,                 1.5024,                 1.2266,                 1.2813,                 1.5927,                 1.4654,                 1.2401,               0.008218,               0.008218,               0.008218
                     39,                 1.4783,                 1.2101,                 1.1946,                 1.6696,                 1.4882,                 1.1391,                0.57667,                0.40645,                0.43065,                0.25067,                 1.5053,                 1.2377,                 1.2863,                 1.5998,                 1.4823,                 1.2448,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4758,                  1.209,                 1.1897,                 1.6669,                 1.4611,                  1.134,                0.58241,                0.40978,                0.43405,                0.26032,                 1.4791,                  1.184,                 1.2636,                 1.5744,                 1.3977,                 1.2218,               0.008119,               0.008119,               0.008119
                     41,                 1.4744,                 1.1917,                 1.1886,                  1.666,                  1.446,                 1.1347,                0.59415,                0.40399,                0.42373,                 0.2533,                 1.4874,                 1.2331,                 1.2721,                  1.588,                 1.4841,                 1.2308,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4803,                  1.205,                 1.1825,                 1.6909,                 1.4715,                 1.1301,                0.58599,                0.42468,                0.43629,                0.25494,                  1.484,                 1.2396,                 1.2693,                 1.5955,                 1.4743,                 1.2321,                0.00802,                0.00802,                0.00802
                     43,                 1.4704,                  1.188,                 1.1797,                 1.6737,                 1.4406,                 1.1286,                0.56908,                0.41136,                0.43274,                0.25772,                 1.4788,                 1.2383,                 1.2658,                 1.5832,                 1.4833,                  1.229,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4451,                 1.1563,                 1.1738,                 1.6582,                 1.4153,                 1.1258,                0.65749,                0.41509,                0.44939,                0.26649,                 1.4807,                 1.1496,                 1.2712,                 1.5848,                 1.3353,                 1.2369,               0.007921,               0.007921,               0.007921
                     45,                 1.4567,                 1.1778,                 1.1771,                 1.6593,                 1.4156,                 1.1229,                0.60973,                0.41621,                0.43718,                  0.258,                 1.4624,                  1.225,                 1.2608,                 1.5684,                 1.4814,                 1.2249,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4344,                 1.1263,                 1.1584,                 1.6407,                 1.3585,                 1.1106,                0.54845,                0.43423,                0.45732,                0.27305,                 1.4446,                 1.1782,                 1.2516,                 1.5553,                 1.3665,                 1.2221,               0.007822,               0.007822,               0.007822
                     47,                 1.4242,                 1.1372,                  1.154,                 1.6291,                  1.363,                 1.1043,                0.52333,                0.45319,                0.45328,                0.26822,                 1.4564,                 1.1851,                 1.2532,                 1.5787,                 1.4168,                 1.2236,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4416,                 1.1495,                 1.1656,                  1.649,                 1.3735,                 1.1153,                0.60602,                0.43676,                 0.4666,                0.28016,                 1.4414,                 1.1638,                 1.2506,                 1.5524,                 1.3777,                  1.216,               0.007723,               0.007723,               0.007723
                     49,                 1.4447,                 1.1355,                 1.1589,                  1.643,                 1.3545,                  1.105,                 0.5913,                0.43265,                0.45126,                0.27145,                 1.4661,                 1.1608,                 1.2653,                 1.5764,                 1.3314,                 1.2251,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4161,                 1.1123,                 1.1529,                 1.6322,                 1.3458,                 1.1103,                 0.5141,                0.43892,                0.45139,                0.27155,                 1.4458,                 1.1732,                 1.2481,                 1.5556,                 1.4323,                 1.2193,               0.007624,               0.007624,               0.007624
                     51,                 1.4222,                 1.1109,                 1.1557,                  1.632,                 1.3402,                 1.1051,                0.54533,                0.43301,                0.45789,                0.27582,                 1.4299,                 1.1619,                 1.2461,                 1.5452,                 1.3922,                 1.2187,              0.0075745,              0.0075745,              0.0075745
                     52,                  1.413,                 1.1379,                 1.1572,                 1.6239,                  1.369,                 1.1104,                0.63019,                0.43994,                0.46869,                0.28409,                 1.4299,                 1.1399,                 1.2447,                 1.5424,                 1.3395,                 1.2159,               0.007525,               0.007525,               0.007525
                     53,                 1.4126,                 1.1049,                  1.144,                 1.6255,                 1.3183,                 1.1012,                0.58194,                0.44154,                0.47105,                0.28453,                 1.4359,                 1.1289,                 1.2436,                 1.5505,                 1.3309,                 1.2131,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.3809,                 1.0823,                 1.1391,                 1.5922,                 1.3055,                 1.0982,                0.56838,                0.44468,                0.46591,                0.28576,                 1.4353,                 1.1217,                  1.243,                 1.5507,                 1.3123,                 1.2106,               0.007426,               0.007426,               0.007426
                     55,                 1.3935,                 1.0801,                 1.1352,                 1.6117,                 1.2893,                 1.0927,                0.54064,                 0.4513,                0.47389,                0.28758,                 1.4218,                 1.1275,                 1.2411,                  1.538,                 1.3381,                  1.207,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4144,                 1.1023,                 1.1576,                 1.6234,                 1.3389,                 1.1122,                0.57364,                 0.4723,                0.49149,                0.29665,                 1.4204,                 1.0897,                 1.2361,                 1.5292,                 1.2649,                 1.2037,               0.007327,               0.007327,               0.007327
                     57,                 1.3963,                 1.0782,                 1.1383,                 1.6161,                 1.2877,                 1.0918,                0.61293,                0.47078,                0.48459,                0.29472,                 1.4201,                 1.0941,                 1.2353,                 1.5364,                 1.3103,                 1.2038,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.3853,                 1.0725,                   1.13,                 1.6009,                 1.2848,                 1.0831,                0.65336,                0.46425,                0.48638,                0.29585,                 1.4223,                 1.1099,                 1.2328,                 1.5335,                 1.3123,                 1.2039,               0.007228,               0.007228,               0.007228
                     59,                 1.3799,                 1.0579,                 1.1355,                  1.593,                 1.2486,                 1.0918,                0.62546,                0.46309,                0.47707,                0.29093,                  1.407,                 1.0791,                  1.228,                 1.5257,                 1.2507,                 1.1999,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.3787,                 1.0673,                  1.134,                 1.5889,                  1.274,                 1.0879,                0.64383,                0.45133,                0.47989,                0.29527,                 1.4058,                 1.0998,                 1.2324,                 1.5223,                  1.259,                 1.2006,               0.007129,               0.007129,               0.007129
                     61,                  1.378,                 1.0434,                 1.1306,                 1.5853,                  1.236,                  1.089,                0.56807,                0.47055,                0.49177,                0.30086,                 1.4066,                 1.0847,                 1.2278,                 1.5301,                 1.2675,                 1.2023,              0.0070795,              0.0070795,              0.0070795
